Game,GamesLeft,Date,Month,AB,H,BA
1,142,15-Apr,April,1,1,1
2,141,16-Apr,April,1,0,0.5
3,140,18-Apr,April,1,1,0.667
4,139,20-Apr,April,1,0,0.5
5,138,21-Apr,April,1,0,0.4
6,137,22-Apr,April,4,2,0.444
7,136,24-Apr,April,1,0,0.4
8,135,29-Apr,April,3,2,0.462
9,134,30-Apr,April,5,1,0.389
10,133,1-May,May,5,1,0.348
11,132,2-May,May,3,0,0.308
12,131,3-May,May,3,1,0.31
13,130,4-May,May,5,2,0.324
14,129,7-May,May,4,3,0.368
15,128,11-May,May,6,3,0.386
16,127,12-May,May,3,1,0.383
17,126,13-May,May,4,1,0.373
18,125,14-May,May,5,0,0.339
19,124,15-May,May,3,1,0.339
20,123,16-May,May,4,1,0.333
21,122,17-May,May,5,3,0.353
22,121,18-May,May,4,1,0.347
23,120,19-May,May,4,1,0.342
24,119,20-May,May,3,1,0.342
25,118,21-May,May,5,4,0.369
26,117,22-May,May,4,2,0.375
27,116,23-May,May,3,1,0.374
28,115,24-May,May,3,2,0.383
29,114,25-May,May,5,4,0.404
30,113,27-May,May,2,1,0.406
31,112,27-May,May,4,1,0.4
32,111,28-May,May,5,3,0.409
33,110,29-May,May,4,3,0.421
34,109,30-May,May,2,1,0.422
35,108,30-May,May,3,2,0.429
36,107,1-Jun,June,4,2,0.431
37,106,1-Jun,June,5,2,0.43
38,105,2-Jun,June,4,1,0.424
39,104,5-Jun,June,4,3,0.434
40,103,6-Jun,June,4,2,0.436
41,102,7-Jun,June,4,1,0.431
42,101,8-Jun,June,2,0,0.425
43,100,8-Jun,June,3,0,0.416
44,99,12-Jun,June,5,1,0.409
45,98,12-Jun,June,2,1,0.41
46,97,14-Jun,June,5,3,0.416
47,96,15-Jun,June,3,2,0.421
48,95,15-Jun,June,3,2,0.425
49,94,17-Jun,June,4,1,0.421
50,93,17-Jun,June,1,1,0.424
51,92,18-Jun,June,3,0,0.417
52,91,19-Jun,June,3,1,0.416
53,90,20-Jun,June,3,2,0.42
54,89,21-Jun,June,2,0,0.415
55,88,22-Jun,June,3,1,0.414
56,87,22-Jun,June,3,0,0.407
57,86,24-Jun,June,2,0,0.403
58,85,25-Jun,June,3,2,0.407
59,84,26-Jun,June,5,3,0.412
60,83,27-Jun,June,3,1,0.411
61,82,28-Jun,June,3,1,0.41
62,81,29-Jun,June,4,2,0.411
63,80,29-Jun,June,4,0,0.404
64,79,1-Jul,July,4,1,0.401
65,78,1-Jul,July,2,1,0.402
66,77,2-Jul,July,3,1,0.401
67,76,3-Jul,July,4,2,0.403
68,75,5-Jul,July,3,1,0.402
69,74,6-Jul,July,4,1,0.399
70,73,6-Jul,July,4,3,0.405
71,72,11-Jul,July,4,0,0.398
72,71,12-Jul,July,1,0,0.397
73,70,16-Jul,July,1,0,0.395
74,69,19-Jul,July,1,0,0.393
75,68,19-Jul,July,0,0,0.393
76,67,20-Jul,July,1,1,0.396
77,66,22-Jul,July,2,1,0.397
78,65,23-Jul,July,5,2,0.397
79,64,24-Jul,July,5,2,0.397
80,63,25-Jul,July,3,2,0.4
81,62,26-Jul,July,4,3,0.405
82,61,27-Jul,July,3,2,0.408
83,60,29-Jul,July,3,1,0.407
84,59,31-Jul,July,3,2,0.41
85,58,31-Jul,July,3,1,0.409
86,57,2-Aug,August,3,2,0.412
87,56,3-Aug,August,4,1,0.41
88,55,4-Aug,August,2,0,0.407
89,54,5-Aug,August,4,2,0.408
90,53,6-Aug,August,3,1,0.408
91,52,6-Aug,August,3,0,0.403
92,51,7-Aug,August,4,3,0.408
93,50,8-Aug,August,3,1,0.407
94,49,9-Aug,August,3,1,0.407
95,48,10-Aug,August,4,3,0.411
96,47,10-Aug,August,3,1,0.41
97,46,11-Aug,August,1,1,0.412
98,45,12-Aug,August,3,1,0.411
99,44,13-Aug,August,1,1,0.413
100,43,14-Aug,August,5,1,0.41
101,42,14-Aug,August,4,1,0.408
102,41,15-Aug,August,2,0,0.405
103,40,16-Aug,August,5,3,0.408
104,39,17-Aug,August,3,0,0.405
105,38,19-Aug,August,3,1,0.404
106,37,19-Aug,August,5,4,0.41
107,36,20-Aug,August,4,2,0.411
108,35,20-Aug,August,2,1,0.411
109,34,21-Aug,August,3,2,0.414
110,33,22-Aug,August,2,0,0.411
111,32,23-Aug,August,4,1,0.409
112,31,24-Aug,August,4,1,0.408
113,30,24-Aug,August,3,0,0.404
114,29,25-Aug,August,2,0,0.402
115,28,26-Aug,August,1,1,0.404
116,27,27-Aug,August,4,2,0.405
117,26,28-Aug,August,3,2,0.407
118,25,30-Aug,August,3,2,0.409
119,24,31-Aug,August,3,1,0.408
120,23,31-Aug,August,1,0,0.407
121,22,1-Sep,September,3,2,0.409
122,21,1-Sep,September,2,1,0.41
123,20,3-Sep,September,3,1,0.409
124,19,4-Sep,September,1,1,0.411
125,18,6-Sep,September,4,1,0.409
126,17,7-Sep,September,4,3,0.413
127,16,9-Sep,September,3,1,0.412
128,15,10-Sep,September,4,2,0.413
129,14,12-Sep,September,3,0,0.41
130,13,13-Sep,September,1,0,0.409
131,12,14-Sep,September,3,2,0.411
132,11,14-Sep,September,4,1,0.409
133,10,15-Sep,September,3,1,0.409
134,9,17-Sep,September,3,1,0.408
135,8,18-Sep,September,3,0,0.405
136,7,20-Sep,September,4,2,0.406
137,6,21-Sep,September,3,1,0.406
138,5,23-Sep,September,3,1,0.405
139,4,24-Sep,September,3,0,0.402
140,3,24-Sep,September,4,1,0.401
141,2,27-Sep,September,4,1,0.4
142,1,28-Sep,September,5,4,0.404
143,0,28-Sep,September,3,2,0.406
